 Proof summary for theory gnsl_init
    UROLE_MIDDLE_TCC8....................proved - complete   [shostak]( 0.03 s)
    UROLE_MIDDLE_TCC9....................proved - complete   [shostak]( 0.07 s)
    UROLE_MIDDLE_TCC10...................proved - complete   [shostak]( 0.09 s)
    UROLE_MIDDLE_TCC11...................proved - complete   [shostak]( 0.22 s)
    UROLE_MIDDLE_TCC12...................proved - complete   [shostak]( 0.05 s)
    UROLE_MIDDLE_TCC13...................proved - complete   [shostak]( 0.10 s)
    UROLE_MIDDLE_TCC14...................proved - incomplete [shostak]( 0.19 s)
    UROLE_MIDDLE_TCC15...................proved - complete   [shostak]( 0.36 s)
    UROLE_MIDDLE_TCC16...................proved - complete   [shostak]( 0.11 s)
    UROLE_MIDDLE_TCC17...................proved - complete   [shostak]( 0.22 s)
    UROLE_MIDDLE_TCC18...................proved - incomplete [shostak]( 0.11 s)
    USER_TCC1............................proved - complete   [shostak]( 0.02 s)
    USER_TCC2............................proved - complete   [shostak]( 0.04 s)
    hu_list_exists_TCC1..................proved - complete   [shostak]( 0.03 s)
    hu_list_exists.......................proved - complete   [shostak]( 0.10 s)
    hu_list_TCC1.........................proved - complete   [shostak]( 0.01 s)
    cons_hu_list.........................proved - complete   [shostak]( 0.03 s)
    rho_premid_TCC1......................proved - complete   [shostak]( 0.07 s)
    rho_premid_TCC2......................proved - complete   [shostak]( 0.07 s)
    rho_premid_TCC3......................proved - complete   [shostak]( 0.06 s)
    rho_premid_TCC4......................proved - complete   [shostak]( 0.03 s)
    rho_premid_TCC5......................proved - complete   [shostak]( 0.22 s)
    rho_premid_TCC6......................proved - complete   [shostak]( 0.11 s)
    rho_premid_TCC7......................proved - complete   [shostak]( 0.23 s)
    rho_postmid_TCC1.....................proved - complete   [shostak]( 0.07 s)
    rho_postmid_TCC2.....................proved - complete   [shostak]( 0.08 s)
    rho_postmid_TCC3.....................proved - complete   [shostak]( 0.07 s)
    rho_postmid_TCC4.....................proved - complete   [shostak]( 0.02 s)
    rho_postmid_TCC5.....................proved - complete   [shostak]( 0.18 s)
    restrictpremid_init..................proved - incomplete [shostak](11.79 s)
    restrictpremid_middle................proved - incomplete [shostak](82.35 s)
    restrictpremid_last..................proved - incomplete [shostak]( 3.52 s)
    authentication_premid................proved - incomplete [shostak]( 3.19 s)
    restrictpostmid_init.................proved - incomplete [shostak]( 3.13 s)
    restrictpostmid_middle...............proved - incomplete [shostak](68.48 s)
    restrictpostmid_last.................proved - incomplete [shostak]( 4.04 s)
    authentication_postmid...............proved - incomplete [shostak]( 2.82 s)
    Theory totals: 75 formulas, 75 attempted, 75 succeeded (186.92 s)

 Proof summary for theory gnsl_last
    p_TCC1...............................proved - complete   [shostak]( 0.02 s)
    hu_TCC1..............................proved - complete   [shostak]( 0.02 s)
    Nonces_TCC1..........................proved - complete   [shostak]( 0.04 s)
    n_last_TCC1..........................proved - complete   [shostak]( 0.02 s)
    n_last_TCC2..........................proved - complete   [shostak]( 0.02 s)
    n_prop...............................proved - complete   [shostak]( 0.09 s)
