 Proof summary for theory gnsl_init
    p_TCC1...............................proved - complete   [SHOSTAK]( 0.25 s)
    hu_TCC1..............................proved - complete   [SHOSTAK]( 0.64 s)
    Nonces_TCC1..........................proved - complete   [SHOSTAK]( 0.40 s)
    n_init_TCC1..........................proved - complete   [SHOSTAK]( 0.08 s)
    n_prop...............................proved - complete   [SHOSTAK]( 0.48 s)
    n_orig...............................proved - complete   [SHOSTAK]( 0.07 s)
    E_TCC1...............................proved - complete   [SHOSTAK]( 0.15 s)
    UROLE_INIT_TCC1......................proved - complete   [SHOSTAK]( 1.21 s)
    UROLE_INIT_TCC2......................proved - complete   [SHOSTAK]( 0.48 s)
    UROLE_INIT_TCC3......................proved - complete   [SHOSTAK]( 0.07 s)
    UROLE_INIT_TCC4......................proved - incomplete [SHOSTAK]( 0.09 s)
    UROLE_INIT_TCC5......................proved - complete   [SHOSTAK]( 0.04 s)
    UROLE_INIT_TCC6......................proved - complete   [SHOSTAK]( 0.33 s)
    UROLE_INIT_TCC7......................proved - complete   [SHOSTAK]( 0.14 s)
    UROLE_INIT_TCC8......................proved - complete   [SHOSTAK]( 0.07 s)
    UROLE_INIT_TCC9......................proved - incomplete [SHOSTAK]( 0.36 s)
    UROLE_INIT_TCC10.....................proved - complete   [SHOSTAK]( 0.03 s)
    UROLE_LAST_TCC1......................proved - complete   [SHOSTAK]( 0.03 s)
    UROLE_LAST_TCC2......................proved - complete   [SHOSTAK]( 0.03 s)
    UROLE_LAST_TCC3......................proved - incomplete [SHOSTAK]( 0.35 s)
    UROLE_LAST_TCC4......................proved - incomplete [SHOSTAK]( 0.05 s)
    LastMessage_TCC1.....................proved - complete   [SHOSTAK]( 0.02 s)
    LastMessage_TCC2.....................proved - incomplete [SHOSTAK]( 0.08 s)
    LastMessage_TCC3.....................proved - incomplete [SHOSTAK]( 0.08 s)
    UROLE_MIDDLE_TCC1....................proved - complete   [SHOSTAK]( 0.34 s)
    UROLE_MIDDLE_TCC2....................proved - incomplete [SHOSTAK]( 0.08 s)
    UROLE_MIDDLE_TCC3....................proved - incomplete [SHOSTAK]( 0.07 s)
    USER_TCC1............................proved - complete   [SHOSTAK]( 0.04 s)
    USER_TCC2............................proved - complete   [SHOSTAK]( 0.69 s)
    hu_list_exists_TCC1..................proved - complete   [SHOSTAK]( 0.09 s)
    hu_list_exists.......................proved - complete   [SHOSTAK]( 0.46 s)
    hu_list_TCC1.........................proved - complete   [SHOSTAK]( 0.01 s)
    cons_hu_list.........................proved - complete   [SHOSTAK]( 0.04 s)
    R_last_TCC1..........................proved - complete   [SHOSTAK]( 0.39 s)
    rho_middle_TCC1......................proved - complete   [SHOSTAK]( 0.11 s)
    rho_middle_TCC2......................proved - complete   [SHOSTAK]( 0.42 s)
    rho_middle_TCC3......................proved - complete   [SHOSTAK]( 0.11 s)
    rho_middle_TCC4......................proved - complete   [SHOSTAK]( 0.04 s)
    rho_middle_TCC5......................proved - complete   [SHOSTAK]( 0.52 s)
    rho_last_TCC1........................proved - complete   [SHOSTAK]( 0.39 s)
    rho_last_TCC2........................proved - complete   [SHOSTAK]( 0.09 s)
    rho_last_TCC3........................proved - complete   [SHOSTAK]( 0.69 s)
    rho_last_TCC4........................proved - complete   [SHOSTAK]( 0.17 s)
    restrictmiddle_init..................proved - incomplete [SHOSTAK](14.94 s)
    restrictmiddle_middle................proved - incomplete [SHOSTAK](62.30 s)
    restrictmiddle_last..................proved - incomplete [SHOSTAK]( 7.11 s)
    authentication_middle................proved - incomplete [SHOSTAK](11.36 s)
    restrictlast_init....................proved - incomplete [SHOSTAK](14.92 s)
    restrictlast_middle..................proved - incomplete [SHOSTAK](34.79 s)
    restrictlast_last....................proved - incomplete [SHOSTAK](21.46 s)
    authentication_last..................proved - incomplete [SHOSTAK](11.29 s)
    Theory totals: 51 formulas, 51 attempted, 51 succeeded (188.45 s)

 Proof summary for theory gnsl_middle
    p_TCC1..............................proved - complete   [SHOSTAK](  0.02 s)
    mid_TCC1............................proved - complete   [SHOSTAK](  0.02 s)
    mid_TCC2............................proved - complete   [SHOSTAK](  0.04 s)
    hu_TCC1.............................proved - complete   [SHOSTAK](  0.04 s)
    IRpart_TCC1.........................proved - complete   [SHOSTAK](  0.33 s)
    Nonces_TCC1.........................proved - complete   [SHOSTAK](  0.06 s)
    n_mid_TCC1..........................proved - complete   [SHOSTAK](  0.03 s)
    n_prop..............................proved - complete   [SHOSTAK](  0.47 s)
    n_orig..............................proved - complete   [SHOSTAK](  0.07 s)
    E_TCC1..............................proved - complete   [SHOSTAK](  0.15 s)
    select_right_nonce1_TCC1............proved - complete   [SHOSTAK](  0.33 s)
    select_right_nonce1_TCC2............proved - complete   [SHOSTAK](  0.26 s)
    select_right_nonce1.................proved - complete   [SHOSTAK](  1.77 s)
    select_right_nonce2_TCC1............proved - complete   [SHOSTAK](  0.10 s)
    select_right_nonce2_TCC2............proved - complete   [SHOSTAK](  1.19 s)
    select_right_nonce2.................proved - complete   [SHOSTAK](  1.89 s)
    select_right_nonce3_TCC1............proved - complete   [SHOSTAK](  0.08 s)
    select_right_nonce3_TCC2............proved - complete   [SHOSTAK](  0.52 s)
    select_right_nonce3.................proved - complete   [SHOSTAK](  1.47 s)
    UROLE_INIT_TCC1.....................proved - incomplete [SHOSTAK](  0.04 s)
    UROLE_INIT_TCC2.....................proved - complete   [SHOSTAK](  0.03 s)
    UROLE_INIT_TCC3.....................proved - complete   [SHOSTAK](  0.05 s)
    UROLE_INIT_TCC4.....................proved - complete   [SHOSTAK](  3.06 s)
    UROLE_LAST_TCC1.....................proved - complete   [SHOSTAK](  0.03 s)
    UROLE_LAST_TCC2.....................proved - complete   [SHOSTAK](  0.04 s)
    UROLE_LAST_TCC3.....................proved - complete   [SHOSTAK](  0.81 s)
    LastMessage_TCC1....................proved - complete   [SHOSTAK](  0.33 s)
    LastMessage_TCC2....................proved - incomplete [SHOSTAK](  0.08 s)
    LastMessage_TCC3....................proved - incomplete [SHOSTAK](  0.07 s)
    UROLE_MIDDLE_TCC1...................proved - complete   [SHOSTAK](  0.86 s)
    UROLE_MIDDLE_TCC2...................proved - complete   [SHOSTAK](  0.45 s)
    UROLE_MIDDLE_TCC3...................proved - complete   [SHOSTAK](  0.06 s)
    UROLE_MIDDLE_TCC4...................proved - complete   [SHOSTAK](  0.65 s)
    UROLE_MIDDLE_TCC5...................proved - complete   [SHOSTAK](  0.59 s)
    UROLE_MIDDLE_TCC6...................proved - complete   [SHOSTAK](  0.14 s)
    UROLE_MIDDLE_TCC7...................proved - incomplete [SHOSTAK](  0.48 s)
    UROLE_MIDDLE_TCC8...................proved - complete   [SHOSTAK](  0.06 s)
    UROLE_MIDDLE_TCC9...................proved - complete   [SHOSTAK](  0.42 s)
    UROLE_MIDDLE_TCC10..................proved - complete   [SHOSTAK](  0.05 s)
    UROLE_MIDDLE_TCC11..................proved - complete   [SHOSTAK](  0.79 s)
    UROLE_MIDDLE_TCC12..................proved - complete   [SHOSTAK](  0.16 s)
    UROLE_MIDDLE_TCC13..................proved - complete   [SHOSTAK](  0.45 s)
    UROLE_MIDDLE_TCC14..................proved - complete   [SHOSTAK](  0.16 s)
    UROLE_MIDDLE_TCC15..................proved - incomplete [SHOSTAK](  0.48 s)
    UROLE_MIDDLE_TCC16..................proved - complete   [SHOSTAK](  1.25 s)
    UROLE_MIDDLE_TCC17..................proved - complete   [SHOSTAK](  0.47 s)
    UROLE_MIDDLE_TCC18..................proved - complete   [SHOSTAK](  0.82 s)
    UROLE_MIDDLE_TCC19..................proved - incomplete [SHOSTAK](  0.18 s)
    USER_TCC1...........................proved - complete   [SHOSTAK](  0.04 s)
    USER_TCC2...........................proved - complete   [SHOSTAK](  0.41 s)
    hu_list_exists_TCC1.................proved - complete   [SHOSTAK](  0.08 s)
    hu_list_exists......................proved - complete   [SHOSTAK](  0.46 s)
    hu_list_TCC1........................proved - complete   [SHOSTAK](  0.01 s)
    cons_hu_list........................proved - complete   [SHOSTAK](  0.04 s)
    rho_premid_TCC1.....................proved - complete   [SHOSTAK](  0.71 s)
    rho_premid_TCC2.....................proved - complete   [SHOSTAK](  0.11 s)
    rho_premid_TCC3.....................proved - complete   [SHOSTAK](  0.42 s)
    rho_premid_TCC4.....................proved - complete   [SHOSTAK](  0.03 s)
    rho_premid_TCC5.....................proved - complete   [SHOSTAK](  0.68 s)
    rho_premid_TCC6.....................proved - complete   [SHOSTAK](  0.49 s)
    rho_premid_TCC7.....................proved - complete   [SHOSTAK](  0.69 s)
    rho_postmid_TCC1....................proved - complete   [SHOSTAK](  0.42 s)
    rho_postmid_TCC2....................proved - complete   [SHOSTAK](  0.11 s)
    rho_postmid_TCC3....................proved - complete   [SHOSTAK](  0.72 s)
    rho_postmid_TCC4....................proved - complete   [SHOSTAK](  0.03 s)
    rho_postmid_TCC5....................proved - complete   [SHOSTAK](  0.59 s)
    restrictpremid_init.................proved - incomplete [SHOSTAK]( 50.37 s)
    restrictpremid_middle...............proved - incomplete [SHOSTAK](400.01 s)
    restrictpremid_last.................proved - incomplete [SHOSTAK]( 18.83 s)
